Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ApplicationOverview,Chrome 77.0.3865.120,,,2020-05-13 01:19:54,2020-05-13 01:21:46,1m - 51.404s,FAILED
,,,,,,,
Test Cases/Verify Item Added into the Cart/Verify Item Added into the Cart,Chrome 77.0.3865.120,Check All Items and Elements Present,,2020-05-13 01:19:54,2020-05-13 01:21:46,1m - 51.059s,FAILED
openBrowser(environment),Chrome 77.0.3865.120,,,2020-05-13 01:19:55,2020-05-13 01:20:21,26.319s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 77.0.3865.120,,,2020-05-13 01:20:21,2020-05-13 01:20:21,0.002s,PASSED
waitForPageLoad(10),Chrome 77.0.3865.120,,,2020-05-13 01:20:21,2020-05-13 01:20:24,3.029s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2020-05-13 01:20:24,2020-05-13 01:20:29,4.601s,PASSED
deleteAllCookies(),Chrome 77.0.3865.120,,,2020-05-13 01:20:29,2020-05-13 01:20:37,8.448s,PASSED
delay(2),Chrome 77.0.3865.120,,,2020-05-13 01:20:37,2020-05-13 01:20:39,2.061s,PASSED
"click(findTestObject(""ApplicationObjects/buttonNotiAllow""))",Chrome 77.0.3865.120,,,2020-05-13 01:20:39,2020-05-13 01:20:42,2.318s,PASSED
delay(2),Chrome 77.0.3865.120,,,2020-05-13 01:20:42,2020-05-13 01:20:44,2.005s,PASSED
"focus(findTestObject(""Object Repository/ApplicationObjects/HOME And KITCHEN""))",Chrome 77.0.3865.120,,,2020-05-13 01:20:44,2020-05-13 01:20:44,0.625s,PASSED
"mouseOver(findTestObject(""Object Repository/ApplicationObjects/HOME And KITCHEN""))",Chrome 77.0.3865.120,,,2020-05-13 01:20:44,2020-05-13 01:20:46,1.209s,PASSED
delay(2),Chrome 77.0.3865.120,,,2020-05-13 01:20:46,2020-05-13 01:20:48,2.012s,PASSED
"click(findTestObject(""Object Repository/ApplicationObjects/Wall Decor""))",Chrome 77.0.3865.120,,,2020-05-13 01:20:48,2020-05-13 01:20:50,2.155s,PASSED
switchToWindowIndex(1),Chrome 77.0.3865.120,,,2020-05-13 01:20:50,2020-05-13 01:20:54,4.196s,PASSED
delay(4),Chrome 77.0.3865.120,,,2020-05-13 01:20:54,2020-05-13 01:20:58,4.007s,PASSED
"click(findTestObject(""Object Repository/ApplicationObjects/Discount Filter(40-60)""))",Chrome 77.0.3865.120,,,2020-05-13 01:20:58,2020-05-13 01:21:03,4.587s,PASSED
delay(2),Chrome 77.0.3865.120,,,2020-05-13 01:21:03,2020-05-13 01:21:05,2.006s,PASSED
"click(findTestObject(""Object Repository/ApplicationObjects/Price Filter(2501-5000)""))",Chrome 77.0.3865.120,,,2020-05-13 01:21:05,2020-05-13 01:21:06,1.671s,PASSED
"click(findTestObject(""ApplicationObjects/remove ItemCart""))",Chrome 77.0.3865.120,,,2020-05-13 01:21:06,2020-05-13 01:21:45,39.181s,FAILED
